epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6564.57,1.17401,0.83491,1.1485,0.81924,0.75496,0.81809,0.58944,1.02217,0.5845,1.06859,0.005842,0.005842,0.005842
44,6717.04,1.17333,0.82476,1.15096,0.83275,0.74586,0.81912,0.59084,1.0214,0.58292,1.06799,0.005743,0.005743,0.005743
45,6869.59,1.17238,0.82419,1.14868,0.80251,0.76791,0.82023,0.59197,1.02051,0.58175,1.06752,0.005644,0.005644,0.005644
46,7021.75,1.16958,0.81917,1.14624,0.80904,0.76503,0.82161,0.59307,1.01948,0.58013,1.0666,0.005545,0.005545,0.005545
47,7174.52,1.16712,0.82033,1.14627,0.82233,0.75656,0.82303,0.59459,1.01892,0.57861,1.06616,0.005446,0.005446,0.005446
48,7327.12,1.1639,0.80703,1.14434,0.78345,0.7832,0.82391,0.59585,1.01785,0.57693,1.06554,0.005347,0.005347,0.005347
49,7479.71,1.16954,0.81452,1.14526,0.78373,0.78548,0.82541,0.59652,1.01766,0.57512,1.06517,0.005248,0.005248,0.005248
50,7632.29,1.15644,0.80424,1.14093,0.78536,0.7845,0.82727,0.59791,1.017,0.57343,1.06464,0.005149,0.005149,0.005149
51,7784.8,1.16002,0.80335,1.14236,0.84876,0.75119,0.82814,0.59849,1.01661,0.57215,1.06391,0.00505,0.00505,0.00505
52,7937.25,1.15322,0.79725,1.13874,0.84768,0.75369,0.82949,0.60048,1.01665,0.57038,1.06363,0.004951,0.004951,0.004951
53,8089.99,1.1524,0.79473,1.13993,0.79133,0.78805,0.83045,0.60153,1.01553,0.56902,1.0632,0.004852,0.004852,0.004852
54,8242.58,1.14984,0.79289,1.13592,0.79314,0.7893,0.83134,0.60259,1.01501,0.56778,1.0626,0.004753,0.004753,0.004753
55,8394.73,1.14596,0.78796,1.13389,0.79822,0.79193,0.83206,0.60356,1.01424,0.56649,1.06207,0.004654,0.004654,0.004654
56,8547.49,1.14781,0.78695,1.1347,0.79931,0.78847,0.83346,0.6043,1.01373,0.56514,1.06155,0.004555,0.004555,0.004555
57,8699.69,1.14148,0.7838,1.13228,0.80298,0.78672,0.83438,0.60555,1.01296,0.56346,1.06104,0.004456,0.004456,0.004456
58,8852.46,1.13781,0.7788,1.12679,0.8053,0.7864,0.83575,0.60685,1.01217,0.56195,1.06044,0.004357,0.004357,0.004357
59,9005.11,1.13925,0.77804,1.13146,0.82101,0.78385,0.83713,0.60784,1.01104,0.56071,1.05969,0.004258,0.004258,0.004258
60,9157.98,1.13741,0.77566,1.127,0.82834,0.77903,0.83806,0.60917,1.0099,0.55888,1.05893,0.004159,0.004159,0.004159
61,9310.71,1.13338,0.76881,1.12735,0.83321,0.78142,0.83998,0.61075,1.00882,0.55755,1.05822,0.00406,0.00406,0.00406
62,9463.25,1.12763,0.76356,1.12306,0.83488,0.78237,0.84108,0.61127,1.0078,0.55553,1.05744,0.003961,0.003961,0.003961
63,9615.76,1.12829,0.76196,1.12312,0.83511,0.78332,0.84138,0.61286,1.007,0.55453,1.05691,0.003862,0.003862,0.003862
64,9768.34,1.12619,0.75602,1.12051,0.83297,0.78309,0.84192,0.6133,1.00648,0.55318,1.05608,0.003763,0.003763,0.003763
65,9920.62,1.11915,0.75404,1.11772,0.8361,0.78071,0.84289,0.61508,1.00535,0.55238,1.05541,0.003664,0.003664,0.003664
66,10072.8,1.12026,0.74859,1.11899,0.82368,0.79265,0.84419,0.61537,1.00449,0.55109,1.05482,0.003565,0.003565,0.003565
67,10225.2,1.11552,0.74725,1.11393,0.83339,0.78802,0.84497,0.61581,1.00347,0.54959,1.05395,0.003466,0.003466,0.003466
68,10377.7,1.11294,0.74518,1.11697,0.84,0.78016,0.84504,0.61666,1.00279,0.54855,1.0533,0.003367,0.003367,0.003367
69,10530.5,1.11347,0.73652,1.11485,0.83166,0.78792,0.84588,0.61706,1.00167,0.54738,1.05235,0.003268,0.003268,0.003268
70,10683.3,1.10906,0.72984,1.10932,0.83024,0.7985,0.84673,0.61793,1.00073,0.54604,1.05158,0.003169,0.003169,0.003169
71,10835.9,1.10494,0.73234,1.1093,0.83118,0.79657,0.84737,0.61892,0.99952,0.54481,1.05055,0.00307,0.00307,0.00307
72,10988.7,1.10138,0.7242,1.10891,0.83526,0.79375,0.84759,0.61969,0.99847,0.54334,1.04966,0.002971,0.002971,0.002971
73,11141.2,1.09719,0.71806,1.10484,0.83762,0.7953,0.84798,0.62052,0.99775,0.54263,1.04898,0.002872,0.002872,0.002872
74,11294,1.09744,0.71919,1.10549,0.83973,0.79519,0.84842,0.62079,0.99741,0.54165,1.04851,0.002773,0.002773,0.002773
75,11446.6,1.09289,0.71208,1.10308,0.84064,0.79674,0.84919,0.62256,0.99674,0.54045,1.04792,0.002674,0.002674,0.002674
76,11599.5,1.08863,0.71196,1.10042,0.84887,0.79458,0.85002,0.62334,0.99609,0.53965,1.04735,0.002575,0.002575,0.002575
77,11751.9,1.08308,0.70891,1.09928,0.84924,0.79408,0.85114,0.62403,0.99484,0.53875,1.04674,0.002476,0.002476,0.002476
78,11904.5,1.08157,0.69664,1.09944,0.84834,0.78862,0.85179,0.62489,0.9937,0.53754,1.04616,0.002377,0.002377,0.002377
79,12057.6,1.07823,0.69346,1.09661,0.84968,0.78517,0.85286,0.62521,0.99259,0.53635,1.04524,0.002278,0.002278,0.002278
80,12210.4,1.07551,0.69067,1.09455,0.8532,0.78472,0.8536,0.62675,0.99136,0.53529,1.04454,0.002179,0.002179,0.002179
81,12362.9,1.06976,0.68744,1.09144,0.84376,0.79484,0.8539,0.62664,0.9906,0.53438,1.0439,0.00208,0.00208,0.00208
82,12515.5,1.06498,0.68278,1.0859,0.84576,0.79185,0.8539,0.62694,0.98971,0.53308,1.04299,0.001981,0.001981,0.001981
83,12668.2,1.06464,0.67755,1.08708,0.85536,0.78563,0.85464,0.62843,0.98867,0.53195,1.04194,0.001882,0.001882,0.001882
84,12820.8,1.05998,0.6721,1.08598,0.85719,0.78215,0.85622,0.62876,0.98796,0.53085,1.04112,0.001783,0.001783,0.001783
85,12973.4,1.05646,0.67129,1.08305,0.85641,0.78162,0.85639,0.62867,0.98731,0.52991,1.04053,0.001684,0.001684,0.001684
86,13126.2,1.05149,0.66549,1.0826,0.85645,0.78125,0.85681,0.62958,0.98644,0.52951,1.03977,0.001585,0.001585,0.001585
87,13278.5,1.04587,0.6577,1.07857,0.85751,0.78161,0.85727,0.63036,0.98567,0.52863,1.03906,0.001486,0.001486,0.001486
88,13431.1,1.04516,0.65546,1.0758,0.85508,0.78783,0.85793,0.63167,0.98496,0.52747,1.03807,0.001387,0.001387,0.001387
89,13583.8,1.04009,0.64678,1.07326,0.86482,0.78238,0.85801,0.63336,0.98468,0.52683,1.03769,0.001288,0.001288,0.001288
90,13736.3,1.03369,0.6431,1.07315,0.85509,0.78952,0.85855,0.634,0.98416,0.52593,1.03715,0.001189,0.001189,0.001189
91,13897.6,0.95558,0.50438,1.02619,0.86318,0.7855,0.85897,0.63438,0.98285,0.52517,1.03619,0.00109,0.00109,0.00109
92,14049.5,0.94622,0.49264,1.02491,0.86633,0.78411,0.85949,0.63502,0.98228,0.52401,1.03594,0.000991,0.000991,0.000991
93,14201.3,0.93463,0.48332,1.01642,0.86516,0.78362,0.85948,0.63536,0.98176,0.52294,1.03537,0.000892,0.000892,0.000892
94,14353.4,0.92693,0.47787,1.01432,0.86755,0.78505,0.85946,0.63585,0.981,0.52158,1.03492,0.000793,0.000793,0.000793
95,14505.3,0.91765,0.46663,1.00917,0.87312,0.78432,0.85942,0.63539,0.98061,0.52105,1.03448,0.000694,0.000694,0.000694
96,14657.2,0.91263,0.46044,1.00602,0.86522,0.78852,0.85997,0.63636,0.98006,0.51956,1.03402,0.000595,0.000595,0.000595
97,14809,0.90786,0.45471,1.00522,0.86802,0.78784,0.86045,0.63724,0.97967,0.51863,1.03378,0.000496,0.000496,0.000496
98,14960.6,0.89761,0.44702,0.99984,0.87652,0.78271,0.86002,0.63703,0.97961,0.5176,1.03359,0.000397,0.000397,0.000397
99,15112.3,0.89459,0.44373,0.99753,0.87656,0.78272,0.8603,0.63867,0.97927,0.51711,1.03322,0.000298,0.000298,0.000298
100,15263.9,0.88943,0.43659,0.99728,0.87482,0.78706,0.86039,0.64006,0.97853,0.51645,1.03274,0.000199,0.000199,0.000199
